,chromosome,start,end
ACTG1P11,Y,18147884,18149008
ACTG1P2,Y,17757001,17758125
ACTR3BP1,Y,11395699,11397076
AKAP17A,Y,1591604,1602520
AMD1P2,Y,57015105,57016096
ANOS2P,Y,13751656,13915824
ASMT,Y,1615059,1643081
ASMTL,Y,1403139,1453762
ASMTL-AS1,Y,1401430,1414028
ASS1P6,Y,11922536,11923769
ATP5PFP1,Y,6900753,6901372
BCORP1,Y,19456585,19484884
BPY2,Y,22973819,23005465
BPY2B,Y,24607560,24639207
BPY2C,Y,25030901,25062548
CD24P4,Y,18992467,18992709
CD99,Y,2691187,2741309
CD99P1,Y,2609415,2623453
CDC27P2,Y,10190377,10192298
CDRT15P10,Y,11085476,11086061
CDY7P,Y,17951589,17953500
CRLF2,Y,1190490,1212723
CSF2RA,Y,1268793,1325373
CTBP2P1,Y,56855244,56855488
DAZ1,Y,23129355,23199010
DAZ4,Y,24833843,24907040
DDX11L16,Y,57212184,57214397
DDX3Y,Y,12904108,12920478
DHRSX,Y,2219506,2502805
DHRSX-IT1,Y,2334295,2336410
DUX4L16,Y,11306918,11308181
DUX4L17,Y,11314921,11316187
DUX4L18,Y,11321557,11322823
DUX4L19,Y,11332329,11333595
DUX4L31,Y,10171590,10172725
EEF1A1P41,Y,2995067,2995273
EIF1AY,Y,20575776,20593154
EIF4A1P2,Y,5337745,5338964
ELOCP24,Y,57165512,57165845
FAM197Y3,Y,9497287,9505159
FAM197Y5,Y,9458613,9464357
FAM197Y6,Y,9388122,9396027
FAM197Y9,Y,6256267,6263953
FAM224A,Y,18326047,18353210
FAM224B,Y,17552085,17579960
FAM41AY1,Y,17500958,17515018
GOLGA2P2Y,Y,24209567,24215581
GOLGA2P3Y,Y,25454561,25460572
GOT2P5,Y,6837707,6838252
GTPBP6,Y,303346,318798
GYG2P1,Y,12406796,12420322
HSFY1,Y,18546691,18588963
HSFY2,Y,18731440,18773735
IL3RA,Y,1336616,1382689
IL9R,Y,57184216,57199537
KDM5D,Y,19703865,19744939
KRT18P10,Y,5573145,5574431
KRT18P53,Y,545236,545352
LINC00102,Y,2612988,2615347
LINC00106,Y,1392679,1400524
LINC00265-2P,Y,24276245,24277026
LINC00278,Y,3002887,3200509
LINC00280,Y,6357219,6369921
LINC00685,Y,320990,321851
LINC02968,Y,1657735,1763312
MIR3690,Y,1293918,1293992
